model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order,test_mae,test_rmse,test_r2,fit_strategy,tempo_total_fit_s,test_mae_ensemble,test_rmse_ensemble,test_r2_ensemble,time_limit
LightGBMXT,-0.013064461536187757,-0.012470642204796649,root_mean_squared_error,3.231948137283325,0.13812923431396484,24.363178730010986,3.231948137283325,0.13812923431396484,24.363178730010986,1,True,1,0.010770516788448582,0.02552370293545562,0.9961485580700528,sequential,27.65353618500012,0.010770516788448582,0.02552370293545562,0.9961485580700528,25
WeightedEnsemble_L2,-0.013064461536187757,-0.012470642204796649,root_mean_squared_error,3.235544443130493,0.13845419883728027,24.365142822265625,0.0035963058471679688,0.0003249645233154297,0.001964092254638672,2,True,2,0.010770516788448582,0.02552370293545562,0.9961485580700528,sequential,27.65353618500012,0.010770516788448582,0.02552370293545562,0.9961485580700528,25
WeightedEnsemble_L2,-0.009877480856443617,-0.009773126042077017,root_mean_squared_error,0.2203524112701416,0.051123857498168945,31.209510803222656,0.003336191177368164,0.00043654441833496094,0.010752201080322266,2,True,6,0.009367998166099022,0.018057625000890094,0.9980722209722918,parallel,23.195752551000623,0.009367998166099022,0.018057625000890094,0.9980722209722918,25
XGBoost,-0.009951744021648778,-0.009816727664228446,root_mean_squared_error,0.07360076904296875,0.017372846603393555,15.570060729980469,0.07360076904296875,0.017372846603393555,15.570060729980469,1,True,3,0.009507718859862586,0.018195692011288213,0.9980426290170614,parallel,23.195752551000623,0.009367998166099022,0.018057625000890094,0.9980722209722918,25
LightGBM,-0.011541781820615485,-0.011609136828527702,root_mean_squared_error,0.1434154510498047,0.03331446647644043,15.628697872161865,0.1434154510498047,0.03331446647644043,15.628697872161865,1,True,5,0.012757418194035574,0.0216602096817285,0.9972262883889415,parallel,23.195752551000623,0.009367998166099022,0.018057625000890094,0.9980722209722918,25
CatBoost,-0.02611634312729402,-0.02579546539419634,root_mean_squared_error,0.0092926025390625,0.001722097396850586,15.171899557113647,0.0092926025390625,0.001722097396850586,15.171899557113647,1,True,1,0.036341826553967185,0.055473256918381536,0.9818070418308953,parallel,23.195752551000623,0.009367998166099022,0.018057625000890094,0.9980722209722918,25
LightGBMXT,-0.037995062532724194,-0.03887194781068038,root_mean_squared_error,0.15675663948059082,0.03845643997192383,15.652246713638306,0.15675663948059082,0.03845643997192383,15.652246713638306,1,True,4,0.03249912308424352,0.0660763263091883,0.9741876366442973,parallel,23.195752551000623,0.009367998166099022,0.018057625000890094,0.9980722209722918,25
LightGBMLarge,-0.1740727648160568,-0.17461020279726006,root_mean_squared_error,0.007760524749755859,0.0012807846069335938,3.8684089183807373,0.007760524749755859,0.0012807846069335938,3.8684089183807373,1,True,2,0.29468854541569944,0.36526304431005124,0.2112353104072614,parallel,23.195752551000623,0.009367998166099022,0.018057625000890094,0.9980722209722918,25
LightGBMXT,-0.01179706393163606,-0.010907193217568575,root_mean_squared_error,6.9481751918792725,0.27081918716430664,49.34233736991882,6.9481751918792725,0.27081918716430664,49.34233736991882,1,True,1,0.009201364184591094,0.023557670900903455,0.9967190418381974,sequential,50.88779708099901,0.009201364184591094,0.023557670900903455,0.9967190418381974,50
WeightedEnsemble_L2,-0.01179706393163606,-0.010907193217568575,root_mean_squared_error,6.953042507171631,0.2710750102996826,49.34383034706116,0.0048673152923583984,0.00025582313537597656,0.0014929771423339844,2,True,2,0.009201364184591094,0.023557670900903455,0.9967190418381974,sequential,50.88779708099901,0.009201364184591094,0.023557670900903455,0.9967190418381974,50
WeightedEnsemble_L2,-0.007121444703406629,-0.006669493028125692,root_mean_squared_error,2.823418140411377,0.2730741500854492,109.5037624835968,0.003991842269897461,0.0004994869232177734,0.014966487884521484,2,True,8,0.004637371751568475,0.012426201898341897,0.9990871218697384,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
LightGBMLarge,-0.0075005153603740745,-0.006890713771356649,root_mean_squared_error,1.944322109222412,0.14678668975830078,31.742671489715576,1.944322109222412,0.14678668975830078,31.742671489715576,1,True,7,0.004970471127147648,0.01349536543218094,0.9989232737784152,parallel,46.61800376700012,0.004637371751568475,0.012426201898341897,0.9990871218697384,50
